Model,Complectation,Price,VIN,Milege,Power,Date,ID
Q7,45 TFSI 2.0 AT (252 ë.ñ.) 4WD,10180000,XW8**************,9000,252,1664996965000,1116982480
Q7,60 TFSI e 3.0hyb AT (456 ë.ñ.) 4WD,10410000,XW8**************,8000,456,1664978385000,1116878236
Q7,45 TDI 3.0d AT (249 ë.ñ.) 4WD,11340000,XW8**************,20000,249,1664981719000,1116926883
Q7,45 TDI 3.0d AT (249 ë.ñ.) 4WD,10910000,WAU**************,2000,249,1664994695000,1116291567
Q7,60 TFSI e 3.0hyb AT (456 ë.ñ.) 4WD,9610000,XW8**************,9000,456,1664994308000,1116096757
Q7,45 TFSI 2.0 AT (252 ë.ñ.) 4WD,11690000,WAU**************,4000,252,1664987838000,1116654607
Q7,45 TFSI 2.0 AT (252 ë.ñ.) 4WD,10450000,XW8**************,15000,252,1664349150000,1116925789
Q7,60 TFSI e 3.0hyb AT (456 ë.ñ.) 4WD,11090000,WAU**************,1000,456,1664971203000,1116890917
Q7,45 TFSI 2.0 AT (252 ë.ñ.) 4WD,10510000,WAU**************,23000,252,1663534051000,1116287583
Q7,45 TDI 3.0d AT (249 ë.ñ.) 4WD,10820000,WAU**************,14000,249,1663851294000,1116058879
Q7,50 TDI 3.0d AT (286 ë.ñ.) 4WD,11650000,XW8**************,6000,286,1664339315000,1115180208
Q7,45 TDI 3.0d AT (249 ë.ñ.) 4WD,10400000,XW8**************,14000,249,1664533878000,1115270917
